Query Number | TFIDF NDCG SCORE | Language Model NDCG SCORE
181 |0.237455374322 |0.0753785679171
182 |0.459691492227 |1.03
183 |0.0 |0.00
184 |0.773370059961 |0.07885080630461
185 |0.577747826207 |0.5354051817416
186 |0.0 |0.3798269149675
187 |0.0 |0.4365287190081
188 |0.349415324122 |0.4993766882324
189 |0.126249702933 |0.3219830498872
190 |0.118805429261 |0.5631811962193
191 |0.326309655827 |0.3376046705675
192 |0.199464800712 |0.7973674891614
193 |0.716082423795 |0.8573606375088
194 |0.396771718679 |0.404977366883
195 |0.58965987333 |0.7345013742662
196 |0.0535626718118 |0.00
197 |0.633315560973 |0.8995809254933
198 |0.186757098567 |0.4412294107363
199 |0.0 |0.08391659039171
200 |0.0 |0.6009873229952
201 |0.0 |0.3653733387194
202 |0.466471026665 |0.3017064844223
203 |0.082135660159 |0.5294826067993
204 |0.16651817282 |0.166518172821
205 |0.0 |0.00
206 |0.448586141422 |0.4485861414221
207 |0.0 |0.00
208 |0.68195177047 |0.675763858933
209 |0.0 |0.00
210 |0.0912361182184 |0.6795611072633
211 |0.0 |0.4876849694182
212 |0.663774877699 |0.7430007843478
213 |0.541492862707 |0.6312245605465
214 |0.533534522779 |0.640693974512
215 |0.871300141933 |0.8394393101121
216 |0.0 |0.00
217 |0.0 |0.00
218 |0.0427686996188 |0.07924070497512
219 |0.0 |0.00
220 |0.0937487141671 |0.3662715629543
221 |0.0 |0.08954593156232
222 |0.729733256111 |0.3503858945335
223 |0.785172104051 |0.641748845242
224 |0.212112127593 |0.478667516553
225 |0.287067978856 |0.3991948837374
