Query Number | TFIDF NDCG SCORE | Language Model NDCG SCORE
1 |0.10155753545 |0.3296218668534
2 |0.207075560248 |0.3703300719043
3 |0.313719045644 |0.8324781516577
4 |0.169688749081 |1.006575168093
5 |0.0 |0.6578065556333
6 |0.0 |0.00
7 |0.432334795575 |0.6373521980733
8 |0.282617496535 |0.2826174965352
9 |0.0 |0.4024756076932
10 |0.275115490211 |0.5117781184923
11 |0.0 |0.5953114805433
12 |0.0 |0.4863641262852
13 |0.472387875922 |0.4538366321241
14 |0.513635010995 |0.4899153653381
15 |0.559164853082 |0.5423553145332
16 |0.630785892685 |0.6239834428772
17 |0.289921513551 |0.8724443216142
18 |0.0 |0.5974901175682
19 |0.0 |0.00
20 |0.0 |0.6913823480586
21 |0.305800790975 |0.621794941652
22 |0.0 |0.00
23 |0.157702558214 |0.3053504634222
24 |0.0 |0.4698471858461
25 |0.198480814519 |0.4809670635896
26 |0.407008790672 |0.4074427993742
27 |0.0 |0.5265232934951
28 |0.0 |0.00
29 |0.0293184733305 |0.5627466452254
30 |0.147244363175 |0.3110969279171
31 |0.0 |0.9163623696511
32 |0.426269177885 |0.4125185592441
33 |0.880493943702 |0.8477146732243
34 |0.871168688046 |0.391596574732
35 |0.0721973991394 |0.00
36 |0.0 |0.1302354593471
37 |0.191930688047 |0.06311259717041
38 |0.0 |0.3063039782112
39 |0.0832434231823 |0.03280250115011
40 |0.293767721777 |0.2466740682372
41 |0.729415335556 |1.004846786674
42 |0.432334795575 |0.7690137146063
43 |0.428579405002 |0.6857594948214
44 |0.0 |0.00
45 |0.280748696745 |0.472164004953
46 |0.109804593455 |0.4602697234054
47 |0.102190550019 |0.5766176485136
48 |0.0 |0.4810994861893
49 |0.176153184653 |0.9245057780062
50 |0.640715089513 |0.6233613784122
51 |0.390678759313 |0.3163291302513
52 |0.0350580339607 |0.4126123279443
53 |0.504209949196 |0.08067116378612
54 |0.32661530835 |0.4765032285892
55 |0.258216552659 |0.1659544531783
56 |0.473914263189 |0.4199396388512
57 |0.0 |0.2183883909252
58 |0.459984579898 |0.6766509722794
59 |0.0 |0.00
60 |0.53204749215 |0.60982383223
61 |0.0 |0.6703235561543
62 |0.0 |0.00
63 |0.0 |0.00
64 |0.0 |0.3961016180851
65 |0.258513397939 |0.7201512315937
66 |0.0 |0.368908710082
67 |0.287627718635 |0.6609532319087
68 |0.0 |0.408771320221
69 |0.0 |0.6032449029082
70 |0.0219619593054 |0.2150830646481
71 |0.0 |0.1834963269281
72 |0.0261067337747 |0.2220280243383
73 |0.0 |0.6339272519456
74 |0.0 |0.2003163299871
75 |0.0 |0.4242861932191
76 |0.215813068351 |0.5452832288633
77 |0.335089791605 |0.4358708856544
78 |0.640968065248 |0.8904397615013
79 |0.575721226136 |0.6249981856182
80 |0.0 |0.282743908111
81 |0.0 |0.5338361906312
82 |0.0 |0.4450915018653
83 |0.0 |0.1553775933761
84 |0.0280602296267 |0.08418068888012
85 |0.0 |0.07922755519831
86 |0.322537962984 |1.008438178723
87 |0.374741966349 |0.3760637180151
88 |0.805598054674 |1.005170448067
89 |0.0428495072581 |0.2940477167392
90 |0.0584800397717 |0.1345133263713
91 |0.216331176711 |0.2498102940943
92 |0.0 |0.2166750890395
93 |0.851637704196 |1.02
94 |0.209502609915 |0.5335158867645
95 |0.0 |0.5328745805222
96 |0.0397735684111 |0.6035039349124
97 |0.0 |0.00
98 |0.535594755939 |0.5227330743021
99 |0.63000788259 |0.502358248812
100 |0.241784169695 |0.5287659537734
101 |0.200527098424 |0.6400225894444
102 |0.0 |0.6088775388373
103 |0.0 |0.6859002157371
104 |0.470069227317 |0.5719155577162
105 |0.743827577875 |0.8720569310764
106 |0.458781064612 |0.8546013137644
107 |0.401200005001 |0.6957190417085
108 |0.791674118398 |0.9720547968257
109 |0.0 |0.00
110 |0.0 |0.3072294166351
111 |0.363874242777 |0.3529355042682
112 |0.840450499053 |0.8238468153472
113 |0.0 |0.1273243997441
114 |0.0 |0.3440503853331
115 |0.0 |0.00
116 |0.0 |0.00
117 |0.0 |0.00
118 |0.0 |0.3760165571232
119 |0.0 |0.9163623696511
120 |0.614950630263 |0.6703511908415
121 |0.2698095152 |0.595772751035
122 |0.261067337747 |0.2610673377471
123 |0.579843027102 |0.6073250806471
124 |0.0 |0.4048414625491
125 |0.223295617053 |0.2593991072243
126 |0.0 |0.2873499853972
127 |0.303684193359 |0.5266087107312
128 |0.16766449718 |0.6859002157371
129 |0.507121796341 |0.8053197946725
130 |0.383409061197 |0.8088093699734
131 |0.301534778927 |0.3835523477522
132 |0.177466743109 |0.5608020442867
133 |0.284367353223 |0.5998631538834
134 |0.601850908966 |0.7365400143162
135 |0.096126828802 |0.5465497485746
136 |0.0 |0.9121251542242
137 |0.453836632124 |0.5597318462862
138 |0.327017746804 |0.6689591691822
139 |0.393558612532 |0.3998087358521
140 |0.243414850049 |0.4718478306492
141 |0.112148073875 |0.1113651904951
142 |0.0 |1.010863018042
143 |0.682326503411 |1.018557206093
144 |0.674935189699 |0.7450417161625
145 |0.489178324783 |0.7680566052785
146 |0.552449034991 |0.5423553145332
147 |0.38016607044 |0.6019948828514
148 |0.0 |0.6190478777783
149 |0.169705212977 |0.306370703474
150 |0.0 |1.03
151 |0.0 |0.00
152 |0.0 |0.3388752653351
153 |0.455259243847 |0.5948875055063
154 |1.01329951193 |1.035896615563
155 |0.371291248767 |0.3673404524742
156 |0.111405609796 |0.03588830867231
157 |0.280331513198 |0.314367470033
158 |0.456685553756 |0.4531513903852
